Market Share,Detail Voice,Sample Voice,Week,Lag Details,Lag Sample,Lag Share
0.216,0.103,0.618,1,.,.,.
0.236,0.098,0.685,2,0.103,0.618,0.216
0.229,0.108,0.62,3,0.098,0.685,0.236
0.234,0.108,0.593,4,0.108,0.62,0.229
0.221,0.101,0.428,5,0.108,0.593,0.234
0.222,0.03,0.231,6,0.101,0.428,0.221
0.23,0.082,0.572,7,0.03,0.231,0.222
0.22,0.085,0.426,8,0.082,0.572,0.23
0.231,0.103,0.632,9,0.085,0.426,0.22
0.213,0.085,0.511,10,0.103,0.632,0.231
0.226,0.081,0.459,11,0.085,0.511,0.213
0.215,0.103,0.468,12,0.081,0.459,0.226
0.226,0.092,0.35,13,0.103,0.468,0.215
0.225,0.07,0.268,14,0.092,0.35,0.226
0.227,0.106,0.5,15,0.07,0.268,0.225
0.224,0.111,0.411,16,0.106,0.5,0.227
0.215,0.097,0.556,17,0.111,0.411,0.224
0.218,0.066,0.309,18,0.097,0.556,0.215
0.234,0.115,0.662,19,0.066,0.309,0.218
0.233,0.135,0.626,20,0.115,0.662,0.234
0.233,0.094,0.48,21,0.135,0.626,0.233
0.225,0.096,0.526,22,0.094,0.48,0.233
0.228,0.127,0.628,23,0.096,0.526,0.225
0.222,0.134,0.509,24,0.127,0.628,0.228
0.209,0.088,0.351,25,0.134,0.509,0.222
0.223,0.088,0.326,26,0.088,0.351,0.209
0.226,0.067,0.189,27,0.088,0.326,0.223
0.215,0.108,0.271,28,0.067,0.189,0.226
0.235,0.11,0.437,29,0.108,0.271,0.215
0.232,0.115,0.39,30,0.11,0.437,0.235
0.218,0.106,0.23,31,0.115,0.39,0.232
0.221,0.071,0.12,32,0.106,0.23,0.218
0.209,0.054,0.188,33,0.071,0.12,0.221
0.217,0.081,0.144,34,0.054,0.188,0.209
0.209,0.086,0.141,35,0.081,0.144,0.217
0.215,0.061,0.15,36,0.086,0.141,0.209
0.228,0.074,0.217,37,0.061,0.15,0.215
0.221,0.07,0.186,38,0.074,0.217,0.228
0.224,0.075,0.341,39,0.07,0.186,0.221
